chr1	1	121700001	p-arm
chr1	125100001	248956423	q-arm
chr2	1	91800001	p-arm
chr2	96000001	242193530	q-arm
chr3	1	87800001	p-arm
chr3	94000001	198295560	q-arm
chr4	1	48200001	p-arm
chr4	51800001	190214556	q-arm
chr5	1	46100001	p-arm
chr5	51400001	181538260	q-arm
chr6	1	58500001	p-arm
chr6	62600001	170805980	q-arm
chr7	1	58100001	p-arm
chr7	62100001	159345974	q-arm
chr8	1	43200001	p-arm
chr8	47200001	145138637	q-arm
chr9	1	42200001	p-arm
chr9	45500001	138394718	q-arm
chr10	1	38000001	p-arm
chr10	41600001	133797423	q-arm
chr11	1	51000001	p-arm
chr11	55800001	135086623	q-arm
chr12	1	33200001	p-arm
chr12	37800001	133275310	q-arm
chr13	1	16500001	p-arm
chr13	18900001	114364329	q-arm
chr14	1	16100001	p-arm
chr14	18200001	107043719	q-arm
chr15	1	17500001	p-arm
chr15	20500001	101991190	q-arm
chr16	1	35300001	p-arm
chr16	38400001	90338346	q-arm
chr17	1	22700001	p-arm
chr17	27400001	83257442	q-arm
chr18	1	15400001	p-arm
chr18	21500001	80373286	q-arm
chr19	1	24200001	p-arm
chr19	28100001	58617617	q-arm
chr20	1	25700001	p-arm
chr20	30400001	64444168	q-arm
chr21	1	10900001	p-arm
chr21	13000001	46709984	q-arm
chr22	1	13700001	p-arm
chr22	17400001	50818469	q-arm
chrX	1	58100001	p-arm
chrX	63800001	156040896	q-arm
chrY	1	10300001	p-arm
chrY	10600001	57227416	q-arm
